source,destination,distance
64128,64245,8
64128,64465,9
64128,64878,4
64128,65110,2
64128,65188,3
64128,65202,1
64128,65392,6
64128,65404,6
64128,65727,1
64128,65863,9
64160,64185,7
64160,64834,6
64160,64925,4
64160,64995,2
64160,65141,6
64160,65483,7
64160,65702,2
64160,65727,8
64185,64160,7
64185,64702,9
64185,64925,1
64185,65112,2
64185,65141,7
64185,65188,3
64185,65392,9
64185,65465,6
64185,65483,2
64185,65629,3
64185,65778,5
64185,65853,10
64245,64128,8
64245,64528,2
64245,64858,4
64245,64995,6
64245,65097,8
64245,65188,1
64245,65260,9
64245,65404,7
64245,65853,1
64281,64324,6
64281,64465,4
64281,64693,3
64281,64708,7
64281,64834,5
64281,64858,5
64281,64995,8
64281,65112,6
64281,65141,6
64281,65202,10
64281,65224,6
64281,65404,5
64281,65465,4
64281,65702,1
64281,65778,5
64302,64834,9
64302,64858,7
64302,64876,6
64302,64878,10
64302,64925,1
64302,64970,8
64302,65405,5
64302,65465,3
64302,65702,8
64302,65727,10
64302,65806,3
64302,65863,8
64324,64281,6
64324,64461,6
64324,64541,4
64324,64702,2
64324,64708,5
64324,64844,3
64324,64876,4
64324,65037,7
64324,65110,9
64324,65112,9
64324,65141,10
64324,65176,2
64324,65188,8
64324,65392,10
64324,65404,8
64324,65405,9
64324,65465,1
64324,65629,4
64461,64324,6
64461,64528,8
64461,64834,4
64461,64858,2
64461,64878,4
64461,64995,5
64461,65037,2
64461,65386,2
64461,65405,2
64461,65629,7
64461,65714,1
64461,65727,9
64461,65806,2
64465,64128,9
64465,64281,4
64465,64693,2
64465,64746,7
64465,65028,8
64465,65110,2
64465,65224,4
64465,65853,4
64528,64245,2
64528,64461,8
64528,64995,8
64528,65405,5
64528,65465,9
64528,65727,3
64528,65853,1
64541,64324,4
64541,64925,7
64541,64995,7
64541,65028,3
64541,65224,4
64541,65629,6
64541,65702,10
64541,65714,5
64541,65727,9
64541,65778,9
64541,65806,8
64693,64281,3
64693,64465,2
64693,64970,4
64693,65260,10
64693,65778,8
64693,65853,10
64702,64185,9
64702,64324,2
64702,64878,8
64702,64925,8
64702,64970,6
64702,65176,2
64702,65465,6
64702,65702,4
64702,65727,2
64702,65731,3
64702,65778,2
64708,64281,7
64708,64324,5
64708,64925,3
64708,65037,1
64708,65202,4
64708,65224,9
64708,65392,6
64708,65404,6
64708,65405,4
64746,64465,7
64746,64925,6
64746,64970,1
64746,65202,6
64746,65224,5
64746,65702,7
64746,65778,7
64746,65806,9
64746,65853,10
64834,64160,6
64834,64281,5
64834,64302,9
64834,64461,4
64834,65202,4
64834,65629,3
64834,65714,8
64834,65727,1
64834,65853,4
64844,64324,3
64844,64878,9
64844,64925,6
64844,64970,6
64844,64995,8
64844,65028,8
64844,65110,9
64844,65188,5
64844,65260,8
64844,65386,9
64844,65404,4
64844,65702,8
64844,65778,1
64844,65853,8
64858,64245,4
64858,64281,5
64858,64302,7
64858,64461,2
64858,64970,6
64858,65037,8
64858,65110,1
64858,65202,9
64858,65392,7
64858,65404,9
64858,65405,9
64858,65465,2
64858,65483,1
64858,65702,3
64858,65727,4
64876,64302,6
64876,64324,4
64876,65176,3
64876,65386,7
64876,65392,6
64876,65405,10
64876,65727,5
64878,64128,4
64878,64302,10
64878,64461,4
64878,64702,8
64878,64844,9
64878,64925,8
64878,64970,8
64878,65028,4
64878,65110,3
64878,65173,7
64878,65224,2
64878,65392,10
64878,65629,3
64878,65714,8
64925,64160,4
64925,64185,1
64925,64302,1
64925,64541,7
64925,64702,8
64925,64708,3
64925,64746,6
64925,64844,6
64925,64878,8
64925,64995,9
64925,65141,8
64925,65188,3
64925,65224,4
64925,65404,2
64925,65778,1
64970,64302,8
64970,64693,4
64970,64702,6
64970,64746,1
64970,64844,6
64970,64858,6
64970,64878,8
64970,65260,7
64970,65386,4
64970,65392,1
64970,65727,1
64995,64160,2
64995,64245,6
64995,64281,8
64995,64461,5
64995,64528,8
64995,64541,7
64995,64844,8
64995,64925,9
64995,65028,8
64995,65188,1
64995,65202,10
64995,65404,6
64995,65465,3
64995,65629,10
64995,65727,1
64995,65806,7
65028,64465,8
65028,64541,3
65028,64844,8
65028,64878,4
65028,64995,8
65028,65097,4
65028,65188,2
65028,65727,3
65028,65806,4
65028,65853,9
65037,64324,7
65037,64461,2
65037,64708,1
65037,64858,8
65037,65405,1
65037,65731,7
65037,65806,4
65097,64245,8
65097,65028,4
65097,65141,4
65097,65629,3
65097,65714,7
65097,65778,3
65097,65863,2
65110,64128,2
65110,64324,9
65110,64465,2
65110,64844,9
65110,64858,1
65110,64878,3
65110,65141,9
65110,65202,4
65110,65386,1
65110,65405,5
65112,64185,2
65112,64281,6
65112,64324,9
65112,65141,7
65112,65483,6
65112,65629,4
65112,65806,7
65112,65863,4
65141,64160,6
65141,64185,7
65141,64281,6
65141,64324,10
65141,64925,8
65141,65097,4
65141,65110,9
65141,65112,7
65141,65176,5
65141,65465,8
65141,65629,8
65141,65853,7
65173,64878,7
65173,65176,8
65173,65188,1
65173,65404,2
65173,65702,4
65173,65806,6
65173,65863,1
65176,64324,2
65176,64702,2
65176,64876,3
65176,65141,5
65176,65173,8
65176,65483,7
65176,65714,8
65188,64128,3
65188,64185,3
65188,64245,1
65188,64324,8
65188,64844,5
65188,64925,3
65188,64995,1
65188,65028,2
65188,65173,1
65188,65202,3
65188,65483,2
65188,65853,7
65202,64128,1
65202,64281,10
65202,64708,4
65202,64746,6
65202,64834,4
65202,64858,9
65202,64995,10
65202,65110,4
65202,65188,3
65202,65702,5
65202,65806,4
65202,65863,8
65224,64281,6
65224,64465,4
65224,64541,4
65224,64708,9
